card_id,local_id,card_name,set_name,set_id,category,rarity,hp,types,stage,description,illustrator,image_url,image_filename,variants,attacks,weaknesses,retreat_cost,boosters,legal,source,updated
A1-011,011,Oddish,Genetic Apex,A1,Pokemon,One Diamond,60,Grass,Basic,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",HYOGONOSUKE,https://assets.tcgdex.net/en/tcgp/A1/011,A1_011.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Ram"", ""damage"": ""20""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-012,012,Gloom,Genetic Apex,A1,Pokemon,Two Diamond,80,Grass,Stage1,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,Anesaki Dynamic,https://assets.tcgdex.net/en/tcgp/A1/012,A1_012.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Drool"", ""damage"": ""40""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-013,013,Vileplume,Genetic Apex,A1,Pokemon,Three Diamond,140,Grass,Stage2,"It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",Kyoko Umemoto,https://assets.tcgdex.net/en/tcgp/A1/013,A1_013.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Soothing Scent"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Asleep."", ""damage"": ""80""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",3,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-014,014,Paras,Genetic Apex,A1,Pokemon,One Diamond,70,Grass,Basic,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.",Naoyo Kimura,https://assets.tcgdex.net/en/tcgp/A1/014,A1_014.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Scratch"", ""damage"": ""30""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-015,015,Parasect,Genetic Apex,A1,Pokemon,Two Diamond,120,Grass,Stage1,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.",Eri Yamaki,https://assets.tcgdex.net/en/tcgp/A1/015,A1_015.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Slash"", ""damage"": ""80""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-016,016,Venonat,Genetic Apex,A1,Pokemon,One Diamond,50,Grass,Basic,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,HYOGONOSUKE,https://assets.tcgdex.net/en/tcgp/A1/016,A1_016.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Tackle"", ""damage"": ""20""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-017,017,Venomoth,Genetic Apex,A1,Pokemon,Two Diamond,80,Grass,Stage1,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.",Mina Nakai,https://assets.tcgdex.net/en/tcgp/A1/017,A1_017.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Poison Powder"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned."", ""damage"": ""30""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-018,018,Bellsprout,Genetic Apex,A1,Pokemon,One Diamond,60,Grass,Basic,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",HYOGONOSUKE,https://assets.tcgdex.net/en/tcgp/A1/018,A1_018.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Vine Whip"", ""damage"": ""20""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-019,019,Weepinbell,Genetic Apex,A1,Pokemon,Two Diamond,90,Grass,Stage1,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.,Miki Tanaka,https://assets.tcgdex.net/en/tcgp/A1/019,A1_019.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Razor Leaf"", ""damage"": ""40""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-020,020,Victreebel,Genetic Apex,A1,Pokemon,Three Diamond,140,Grass,Stage2,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",Sumiyoshi Kizuki,https://assets.tcgdex.net/en/tcgp/A1/020,A1_020.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Vine Whip"", ""damage"": ""60""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-021,021,Exeggcute,Genetic Apex,A1,Pokemon,One Diamond,50,Grass,Basic,"Though it may look like it's just a bunch of eggs, it's a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",kawayoo,https://assets.tcgdex.net/en/tcgp/A1/021,A1_021.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Seed Bomb"", ""damage"": ""20""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-022,022,Exeggutor,Genetic Apex,A1,Pokemon,Three Diamond,160,Grass,Stage1,Each of Exeggutor's three heads is thinking different thoughts. The three don't seem to be very interested in one another.,Yukiko Baba,https://assets.tcgdex.net/en/tcgp/A1/022,A1_022.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Stomp"", ""effect"": ""Flip a coin. If heads, this attack does 30 more damage."", ""damage"": ""30+""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",3,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-023,023,Exeggutor ex,Genetic Apex,A1,Pokemon,Four Diamond,160,Grass,Stage1,,PLANETA CG Works,https://assets.tcgdex.net/en/tcgp/A1/023,A1_023.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Tropical Swing"", ""effect"": ""Flip a coin. If heads, this attack does 40 more damage."", ""damage"": ""40+""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",3,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-024,024,Tangela,Genetic Apex,A1,Pokemon,One Diamond,80,Grass,Basic,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon's true appearance remains a mystery.",Midori Harada,https://assets.tcgdex.net/en/tcgp/A1/024,A1_024.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Absorb"", ""effect"": ""Heal 10 damage from this Pok\u00e9mon."", ""damage"": ""40""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-025,025,Scyther,Genetic Apex,A1,Pokemon,One Diamond,70,Grass,Basic,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track.",Hasuno,https://assets.tcgdex.net/en/tcgp/A1/025,A1_025.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Sharp Scythe"", ""damage"": ""30""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-026,026,Pinsir,Genetic Apex,A1,Pokemon,Two Diamond,90,Grass,Basic,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",Eri Yamaki,https://assets.tcgdex.net/en/tcgp/A1/026,A1_026.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Grass""], ""name"": ""Double Horn"", ""effect"": ""Flip 2 coins. This attack does 50 damage for each heads."", ""damage"": ""50\u00d7""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}, {""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}, {""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-027,027,Cottonee,Genetic Apex,A1,Pokemon,One Diamond,50,Grass,Basic,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth.",Kanako Eo,https://assets.tcgdex.net/en/tcgp/A1/027,A1_027.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Colorless""], ""name"": ""Attach"", ""damage"": ""10""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}, {""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}, {""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-028,028,Whimsicott,Genetic Apex,A1,Pokemon,Two Diamond,80,Grass,Stage1,"It scatters cotton all over the place as a prank. If it gets wet, it'll become too heavy to move and have no choice but to answer for its mischief.",Atsuko Nishida,https://assets.tcgdex.net/en/tcgp/A1/028,A1_028.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Colorless""], ""name"": ""Rolling Tackle"", ""damage"": ""40""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}, {""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}, {""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-029,029,Petilil,Genetic Apex,A1,Pokemon,One Diamond,60,Grass,Basic,The leaves on its head grow right back even if they fall out. These bitter leaves refresh those who eat them.,Naoyo Kimura,https://assets.tcgdex.net/en/tcgp/A1/029,A1_029.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass""], ""name"": ""Blot"", ""effect"": ""Heal 10 damage from this Pok\u00e9mon."", ""damage"": ""10""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}, {""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}, {""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-030,030,Lilligant,Genetic Apex,A1,Pokemon,Two Diamond,100,Grass,Stage1,"The fragrance of the garland on its head has a relaxing effect, but taking care of it is very difficult.",You Iribi,https://assets.tcgdex.net/en/tcgp/A1/030,A1_030.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Grass""], ""name"": ""Leaf Supply"", ""effect"": ""Take a {G} Energy from your Energy Zone and attach it to 1 of your Benched {G} Pok\u00e9mon."", ""damage"": ""50""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-mewtwo"", ""name"": ""Mewtwo""}, {""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}, {""id"": ""boo_A1-pikachu"", ""name"": ""Pikachu""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-031,031,Skiddo,Genetic Apex,A1,Pokemon,One Diamond,70,Grass,Basic,"Until recently, people living in the mountains would ride on the backs of these Pokémon to traverse the mountain paths.",Naoki Saito,https://assets.tcgdex.net/en/tcgp/A1/031,A1_031.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Colorless""], ""name"": ""Surprise Attack"", ""effect"": ""Flip a coin. If tails, this attack does nothing."", ""damage"": ""40""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-032,032,Gogoat,Genetic Apex,A1,Pokemon,One Diamond,120,Grass,Stage1,"It can sense the feelings of others by touching them with its horns. This species has assisted people with their work since 5,000 years ago.",You Iribi,https://assets.tcgdex.net/en/tcgp/A1/032,A1_032.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Razor Leaf"", ""damage"": ""70""}]","[{""type"": ""Fire"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-033,033,Charmander,Genetic Apex,A1,Pokemon,One Diamond,60,Fire,Basic,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",Teeziro,https://assets.tcgdex.net/en/tcgp/A1/033,A1_033.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Fire""], ""name"": ""Ember"", ""effect"": ""Discard a {R} Energy from this Pok\u00e9mon."", ""damage"": ""30""}]","[{""type"": ""Water"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-034,034,Charmeleon,Genetic Apex,A1,Pokemon,Two Diamond,90,Fire,Stage1,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,kantaro,https://assets.tcgdex.net/en/tcgp/A1/034,A1_034.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""name"": ""Fire Claws"", ""damage"": ""60""}]","[{""type"": ""Water"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-035,035,Charizard,Genetic Apex,A1,Pokemon,Three Diamond,150,Fire,Stage2,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",takuyoa,https://assets.tcgdex.net/en/tcgp/A1/035,A1_035.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""name"": ""Fire Spin"", ""effect"": ""Discard 2 {R} Energy from this Pok\u00e9mon."", ""damage"": ""150""}]","[{""type"": ""Water"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-036,036,Charizard ex,Genetic Apex,A1,Pokemon,Four Diamond,180,Fire,Stage2,,PLANETA Mochizuki,https://assets.tcgdex.net/en/tcgp/A1/036,A1_036.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""name"": ""Slash"", ""damage"": ""60""}, {""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""name"": ""Crimson Storm"", ""effect"": ""Discard 2 {R} Energy from this Pok\u00e9mon."", ""damage"": ""200""}]","[{""type"": ""Water"", ""value"": ""+20""}]",2,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-037,037,Vulpix,Genetic Apex,A1,Pokemon,One Diamond,50,Fire,Basic,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",Toshinao Aoki,https://assets.tcgdex.net/en/tcgp/A1/037,A1_037.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Colorless""], ""name"": ""Tail Whip"", ""effect"": ""Flip a coin. If heads, the Defending Pok\u00e9mon can't attack during your opponent's next turn.""}]","[{""type"": ""Water"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
A1-038,038,Ninetales,Genetic Apex,A1,Pokemon,Two Diamond,90,Fire,Stage1,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",You Iribi,https://assets.tcgdex.net/en/tcgp/A1/038,A1_038.jpg,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": true, ""wPromo"": false}","[{""cost"": [""Fire"", ""Fire""], ""name"": ""Flamethrower"", ""effect"": ""Discard 1 {R} Energy from this Pok\u00e9mon."", ""damage"": ""90""}]","[{""type"": ""Water"", ""value"": ""+20""}]",1,"[{""id"": ""boo_A1-charizard"", ""name"": ""Charizard""}]","{""standard"": false, ""expanded"": false}",tcgdx_pocket_api,2025-05-18T00:53:26+02:00
